Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,2480,177298.474,6.802,71.491,2088.41,15.289
0,MatMulV2,AI_CORE,11824,131444.784,5.04,11.116,333.612,11.335
0,fused_recurrent_gated_delta_rule_fwd_kernel_0,AI_VECTOR_CORE,1050,83927.476,50.544,79.93,139.996,7.237
0,Transpose,AI_VECTOR_CORE,4838,70885.734,10.16,14.651,45.824,6.113
0,MoeDistributeDispatchV2,MIX_AIV,1200,68607.286,42.684,57.172,3560.356,5.916
0,MoeDistributeCombineV2,MIX_AIV,1200,66017.018,16.782,55.014,148.374,5.693
0,TransData,AI_VECTOR_CORE,2100,44469.12,1.2,21.175,49.504,3.835
0,Cast,AI_VECTOR_CORE,19665,36705.79,0.94,1.866,21.362,3.165
0,MoeTokenPermute,MIX_AIV,80,32760.82,68.586,409.51,944.834,2.825
0,unk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_inter,MIX_AIC,35,28817.462,816.84,823.356,834.904,2.485
0,unk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_intra,MIX_AIC,35,28812.096,815.862,823.202,828.022,2.484
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,186,24563.35,116.752,132.061,580.158,2.118
0,Mul,AI_VECTOR_CORE,3385,22962.52,1.68,6.783,51.906,1.98
0,SwiGlu,AI_VECTOR_CORE,2542,22952.934,2.94,9.029,287.888,1.979
0,MoeTokenUnpermute,AI_VECTOR_CORE,80,22514.038,37.184,281.425,665.626,1.941
0,allreduceAicpuKernel,AI_CPU,85,21528.104,215.982,253.271,427.982,1.856
0,MatMulV3,AI_CORE,228,20357.43,82.288,89.286,229.062,1.755
0,merge_16x16_to_64x64_inverse_kernel,MIX_AIC,35,19919.548,552.774,569.129,585.938,1.718
0,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,MIX_AIC,35,18884.57,532.734,539.559,548.574,1.628
0,_causal_conv1d_update_kernel_npu_tiled_0,AI_VECTOR_CORE,3150,17634.732,4.62,5.598,8.4,1.521
0,AddRmsNormBias,AI_VECTOR_CORE,2604,16497.128,2.56,6.335,119.032,1.423
0,recompute_w_u_fwd_kernel,MIX_AIC,35,16308.334,452.966,465.952,477.608,1.406
0,FusedInferAttentionScore,MIX_AIC,224,16299.446,53.424,72.765,403.9,1.406
0,Pows,AI_VECTOR_CORE,1055,15499.506,12.32,14.691,25.162,1.337
0,MoeGatingTopK,AI_VECTOR_CORE,1240,10365.538,5.542,8.359,70.226,0.894
0,MemSet,AI_VECTOR_CORE,620,8842.18,6.5,14.261,22.502,0.762
0,ReduceMean,MIX_AIV,1055,8290.04,4.022,7.857,20.842,0.715
0,ConcatD,AI_VECTOR_CORE,630,7314.588,2.52,11.61,44.864,0.631
0,Conv2D,AI_CORE,525,6025.252,5.92,11.476,31.742,0.52
0,chunk_local_cumsum_vector_kernel,AI_VECTOR_CORE,35,5792.672,141.914,165.504,192.64,0.5
0,StridedSlice,AI_VECTOR_CORE,525,5667.082,9.302,10.794,22.002,0.489
0,Slice,AI_VECTOR_CORE,744,5484.504,2.44,7.371,41.344,0.473
0,Sigmoid,AI_VECTOR_CORE,2327,4605.07,1.02,1.978,24.702,0.397
0,Index,AI_VECTOR_CORE,301,4072.756,6.76,13.53,56.066,0.351
0,kda_gate_fwd_kernel_16,AI_VECTOR_CORE,1050,3615.042,3.1,3.442,4.22,0.312
0,ZerosLike,AI_VECTOR_CORE,1172,3340.596,1.42,2.85,13.3,0.288
0,MatMulCommon,AI_CORE,300,3322.04,5.08,11.073,20.66,0.286
0,IndexPutV2,AI_VECTOR_CORE,70,2907.098,18.002,41.529,67.066,0.251
0,l2norm_fwd_kernel2,AI_VECTOR_CORE,70,2858.186,33.662,40.831,48.464,0.246
0,TransposeBatchMatMul,AI_CORE,217,2846.616,11.842,13.118,19.042,0.245
0,kda_gate_fwd_kernel,AI_VECTOR_CORE,35,2773.026,69.106,79.229,91.668,0.239
0,TensorMove,AI_VECTOR_CORE,230,2676.874,8.9,11.638,43.884,0.231
0,Add,AI_VECTOR_CORE,1288,2543.128,1.2,1.974,117.112,0.219
0,ArgMaxV2,AI_VECTOR_CORE,31,2438.162,70.928,78.65,89.55,0.21
0,chunk_gla_fwd_kernel_o,MIX_AIC,35,2378.796,65.846,67.965,71.926,0.205
0,Swish,AI_VECTOR_CORE,525,2200.366,1.22,4.191,22.382,0.19
0,DSARandomUniform,DSA_SQE,31,2079.602,60.166,67.083,78.468,0.179
0,muls_add_kernel_0,AI_VECTOR_CORE,480,1872.592,3.54,3.901,12.082,0.161
0,muls_add_kernel_1,AI_VECTOR_CORE,720,1788.154,2.18,2.483,8.442,0.154
0,SoftmaxV2,AI_VECTOR_CORE,31,1669.226,51.646,53.846,56.566,0.144
0,muls_add_kernel,AI_VECTOR_CORE,40,1567.138,37.984,39.178,43.864,0.135
0,InterleaveRope,AI_VECTOR_CORE,224,1553.354,4.46,6.934,53.124,0.134
0,BatchMatMulV2,AI_CORE,187,1491.912,7.3,7.978,8.88,0.129
0,Rsqrt,AI_VECTOR_CORE,1055,1450.99,1.06,1.375,5.96,0.125
0,KvRmsNormRopeCache,AI_VECTOR_CORE,224,1436.76,4.64,6.414,45.486,0.124
0,BroadcastTo,AI_VECTOR_CORE,611,1191.278,1.22,1.949,17.282,0.103
0,AsStrided,AI_VECTOR_CORE,187,1002.898,4.9,5.363,6.18,0.086
0,HistogramV2,AI_VECTOR_CORE,40,985.658,23.744,24.641,27.802,0.085
0,MulAiCore,AI_VECTOR_CORE,180,972.508,1.56,5.402,13.68,0.084
0,Range,AI_VECTOR_CORE,120,924.744,4.18,7.706,12.64,0.08
0,Equal,AI_VECTOR_CORE,525,904.308,1.42,1.722,2.64,0.078
0,Sub,AI_VECTOR_CORE,588,888.518,1.16,1.511,3.902,0.077
0,RealDiv,AI_VECTOR_CORE,62,801.62,8.78,12.929,17.444,0.069
0,RepeatInterleave,AI_VECTOR_CORE,40,753.336,18.16,18.833,24.002,0.065
0,ReduceSum,MIX_AIV,160,749.092,3.442,4.681,5.64,0.065
0,SliceAiCore,AI_VECTOR_CORE,210,715.61,2.98,3.407,3.942,0.062
0,CastAiCore,AI_VECTOR_CORE,450,704.044,0.96,1.564,3.14,0.061
0,MaskedFill,AI_VECTOR_CORE,32,698.138,14.702,21.816,71.968,0.06
0,GreaterEqual,AI_VECTOR_CORE,62,609.566,2.74,9.831,111.05,0.053
0,TransposeAiCore,AI_VECTOR_CORE,30,608.604,16.582,20.286,24.644,0.052
0,FloorDiv,AI_CPU,15,606.86,26.202,40.457,140.894,0.052
0,Fill,AI_VECTOR_CORE,424,585.69,0.96,1.381,2.1,0.051
0,SearchSorted,AI_CPU,15,567.776,25.462,37.851,91.788,0.049
0,UniqueConsecutive,AI_CPU,15,518.692,24.384,34.579,83.028,0.045
0,MaskedFillAiCore,AI_VECTOR_CORE,30,459.246,11.62,15.308,18.162,0.04
0,Neg,AI_VECTOR_CORE,31,431.99,7.402,13.935,45.764,0.037
0,PowsAiCore,AI_VECTOR_CORE,30,414.372,13.602,13.812,14.4,0.036
0,Log,AI_VECTOR_CORE,31,335.514,9.08,10.823,27.162,0.029
0,ViewCopy,AI_VECTOR_CORE,30,273.682,6.86,9.122,13.422,0.024
0,BatchMatMulNd,AI_CORE,30,248.746,7.642,8.291,9.1,0.021
0,RmsNorm,AI_VECTOR_CORE,31,243.482,4.82,7.854,75.726,0.021
0,ReduceMeanAiCore,MIX_AIV,30,232.584,4.92,7.752,9.882,0.02
0,NonZero,MIX_AIV,35,182.33,4.72,5.209,6.1,0.016
0,AsStridedAiCore,AI_VECTOR_CORE,30,163.538,5.06,5.451,5.92,0.014
0,GatherV2,AI_VECTOR_CORE,1,147.954,147.954,147.954,147.954,0.013
0,GatherV2AiCore,AI_VECTOR_CORE,30,102.754,2.86,3.425,4.34,0.009
0,SigmoidAiCore,AI_VECTOR_CORE,60,101.432,1.24,1.69,2.42,0.009
0,GatherV3,AI_VECTOR_CORE,15,94.346,3.38,6.289,12.64,0.008
0,LessAiCore,AI_VECTOR_CORE,30,84.544,2.48,2.818,3.36,0.007
0,SubAiCore,AI_VECTOR_CORE,30,65.864,2.02,2.195,2.48,0.006
0,ZerosLikeAiCore,AI_VECTOR_CORE,30,65.006,1.76,2.166,2.8,0.006
0,LogicalNot,AI_VECTOR_CORE,36,60.224,1.44,1.672,2.16,0.005
0,Cumsum,AI_VECTOR_CORE,20,46.942,1.92,2.347,2.72,0.004
0,LogicalAndAiCore,AI_VECTOR_CORE,30,45.142,1.34,1.504,1.7,0.004
0,LogicalNotAiCore,AI_VECTOR_CORE,30,44.422,1.28,1.48,2.16,0.004
0,AddAiCore,AI_VECTOR_CORE,30,41.602,1.26,1.386,1.52,0.004
0,RsqrtAiCore,AI_VECTOR_CORE,30,40.784,1.24,1.359,1.84,0.004
0,Greater,AI_VECTOR_CORE,5,13.4,2.46,2.68,2.88,0.001
0,_build_final_chunk_indices_kernel,AI_VECTOR_CORE,5,5.66,1.1,1.132,1.24,0
0,Less,AI_VECTOR_CORE,1,4.242,4.242,4.242,4.242,0
0,LogicalAnd,AI_VECTOR_CORE,1,1.76,1.76,1.76,1.76,0
