Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::synchronize,,,122.8,122.8,0.02,0.02,0,0
aten::slice,,,22.41,37.0,0,0,0,0
aten::as_strided,,,14.59,14.59,0,0,0,0
aten::slice,,,3.3,10.02,0,0,0,0
aten::as_strided,,,6.72,6.72,0,0,0,0
aten::copy_,,,23.74,68.8,0,3.142,0,0
acl_memcpy_host_to_device,,,45.06,45.06,3.142,3.142,0,0
aten::slice,,,3.22,5.33,0,0,0,0
aten::as_strided,,,2.11,2.11,0,0,0,0
aten::slice,,,21.85,24.0,0,0,0,0
aten::as_strided,,,2.15,2.15,0,0,0,0
aten::copy_,,,5.45,17.56,0,2.8,0,0
acl_memcpy_host_to_device,,,12.11,12.11,2.8,2.8,0,0
aten::slice,,,5.37,7.14,0,0,0,0
aten::as_strided,,,1.77,1.77,0,0,0,0
aten::slice,,,1.91,4.67,0,0,0,0
aten::as_strided,,,2.76,2.76,0,0,0,0
aten::copy_,,,4.37,13.24,0,3.022,0,0
acl_memcpy_host_to_device,,,8.87,8.87,3.022,3.022,0,0
aten::slice,,,2.03,3.4,0,0,0,0
aten::as_strided,,,1.37,1.37,0,0,0,0
aten::slice,,,4.31,5.77,0,0,0,0
aten::as_strided,,,1.46,1.46,0,0,0,0
aten::copy_,,,20.38,27.97,0,2.7,0,0
acl_memcpy_host_to_device,,,7.59,7.59,2.7,2.7,0,0
aten::slice,,,2.36,4.11,0,0,0,0
aten::as_strided,,,1.75,1.75,0,0,0,0
aten::slice,,,1.76,3.11,0,0,0,0
aten::as_strided,,,1.35,1.35,0,0,0,0
aten::copy_,,,6.6,14.92,0,2.58,0,0
acl_memcpy_host_to_device,,,8.32,8.32,2.58,2.58,0,0
aten::slice,,,2.08,5.33,0,0,0,0
aten::as_strided,,,3.25,3.25,0,0,0,0
aten::slice,,,1.53,2.65,0,0,0,0
aten::as_strided,,,1.12,1.12,0,0,0,0
aten::copy_,,,4.26,10.55,0,2.6,0,0
